XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
279831.31024149,2332452.80754950,279,293,147,13.8784648036711
279831.31024149,2332452.80754950,279,324,163,46.5576463850742
282079.89881823,2332453.44457179,284,234,142,277.417115815929
282079.89881823,2332453.44457179,284,41,143,397.959785888939
282079.89881823,2332453.44457179,284,308,154,281.601586688076
282079.89881823,2332453.44457179,284,525,264,518.222968679068
280214.95031630,2332453.65323284,288,263,144,8.71674315366581
280214.95031630,2332453.65323284,288,182,145,104.894573727589
280214.95031630,2332453.65323284,288,376,189,152.088911762662
279844.73479788,2332456.32792885,293,279,147,13.8784648036711
279343.20231912,2332462.73336752,296,278,148,33.6325757108221
279610.64454743,2332464.43983330,297,242,149,73.9523238520956
279137.95621373,2332476.28164946,300,186,150,118.719004114275
277684.83972197,2332482.75556855,302,270,151,34.3516646548532
279761.80769891,2332482.88212443,304,242,152,113.890200960871
279761.80769891,2332482.88212443,304,274,153,35.1014634681623
279761.80769891,2332482.88212443,304,312,156,30.8511246660973
282359.49037891,2332487.03047397,308,284,154,281.601586688076
282359.49037891,2332487.03047397,308,310,155,100.314091960778
282359.49037891,2332487.03047397,308,320,160,75.8006327279948
282359.49037891,2332487.03047397,308,409,205,169.373099421969
282371.37029260,2332387.42231819,310,308,155,100.314091960778
279791.68009427,2332490.59133247,312,304,156,30.8511246660973
279791.68009427,2332490.59133247,312,259,157,47.4585730373592
279791.68009427,2332490.59133247,312,324,162,26.4899249533211
277734.47048533,2332494.09409151,315,228,158,125.549600722307
277734.47048533,2332494.09409151,315,359,180,125.920868303409
277734.47048533,2332494.09409151,315,595,298,674.794812663926
279459.16345371,2332495.47522781,318,268,159,66.2713741520436
279459.16345371,2332495.47522781,318,372,187,107.525975766557
279459.16345371,2332495.47522781,318,398,199,203.651998387626
282434.74957156,2332496.07424767,320,308,160,75.8006327279948
282434.74957156,2332496.07424767,320,45,161,423.062550678503
282434.74957156,2332496.07424767,320,340,170,206.179383621795
282434.74957156,2332496.07424767,320,409,206,187.942419249201
279817.32826509,2332497.21609342,324,312,162,26.4899249533211
279817.32826509,2332497.21609342,324,279,163,46.5576463850742
279817.32826509,2332497.21609342,324,376,188,373.560144329682
279306.71604755,2332503.13449807,327,278,164,52.4812329031439
279306.71604755,2332503.13449807,327,329,165,45.6614068014451
279306.71604755,2332503.13449807,327,338,169,10.8976296499065
279351.84227628,2332504.19376571,329,327,165,45.6614068014451
279351.84227628,2332504.19376571,329,268,168,111.650639387279
279351.84227628,2332504.19376571,329,366,183,81.0700293892692
277612.16312128,2332506.14854301,331,252,166,70.7975704456834
277646.19343864,2332506.79859592,333,256,167,65.3609886345722
279305.46761910,2332513.96038180,338,327,169,10.8976296499065
282639.66068566,2332518.90785341,340,320,170,206.179383621795
282639.66068566,2332518.90785341,340,64,171,358.839056037402
282639.66068566,2332518.90785341,340,356,178,276.731299195523
282639.66068566,2332518.90785341,340,565,284,516.597220964108
279762.28016089,2332547.25479215,343,344,172,52.750357946573
279762.28016089,2332547.25479215,343,346,173,71.1651987113735
279762.28016089,2332547.25479215,343,350,177,30.7720818976077
279775.00744959,2332496.06283589,344,343,172,52.750357946573
279802.65859398,2332504.01205757,346,343,173,71.1651987113735
279702.32581356,2332548.87269351,347,348,174,69.7384374191099
279702.32581356,2332548.87269351,347,350,175,29.2839762882943
279702.32581356,2332548.87269351,347,398,200,137.755470718296
279721.28622870,2332481.81579386,348,347,174,69.7384374191099
279731.60926778,2332549.04755311,350,347,175,29.2839762882943
279731.60926778,2332549.04755311,350,352,176,62.3470744491417
279731.60926778,2332549.04755311,350,343,177,30.7720818976077
279748.14677906,2332488.93375758,352,350,176,62.3470744491417
282914.68897561,2332549.56159184,356,340,178,276.731299195523
282914.68897561,2332549.56159184,356,83,179,360.455427013106
282914.68897561,2332549.56159184,356,362,181,278.241503595892
282914.68897561,2332549.56159184,356,587,295,517.308758268314
277638.87102441,2332576.05022700,359,315,180,125.920868303409
277638.87102441,2332576.05022700,359,421,212,135.76726905264
277638.87102441,2332576.05022700,359,605,303,608.792516433469
283191.21504808,2332580.41057958,362,356,181,278.241503595892
283191.21504808,2332580.41057958,362,109,182,361.111620656972
283191.21504808,2332580.41057958,362,368,184,135.950607303442
279335.94921312,2332583.68080862,366,329,183,81.0700293892692
279335.94921312,2332583.68080862,366,372,186,98.9833830191037
279335.94921312,2332583.68080862,366,408,204,99.4077229016773
283326.30993175,2332595.64015718,368,362,184,135.950607303442
283326.30993175,2332595.64015718,368,119,185,361.573482342118
283326.30993175,2332595.64015718,368,380,190,117.137069409206
283326.30993175,2332595.64015718,368,611,307,518.182269351673
279433.98468122,2332597.34671911,372,366,186,98.9833830191037
279433.98468122,2332597.34671911,372,318,187,107.525975766557
279433.98468122,2332597.34671911,372,426,213,95.0367467669276
280175.10994209,2332600.03994829,376,324,188,373.560144329682
280175.10994209,2332600.03994829,376,288,189,152.088911762662
280175.10994209,2332600.03994829,376,524,262,412.904973273253
283442.70907280,2332608.76772324,380,368,190,117.137069409206
283442.70907280,2332608.76772324,380,123,191,361.974520250485
283442.70907280,2332608.76772324,380,390,195,189.877783621197
283442.70907280,2332608.76772324,380,619,311,518.334634823164
281339.30183625,2332611.53239468,384,200,192,241.094294341312
281339.30183625,2332611.53239468,384,386,193,72.1991527495509
281339.30183625,2332611.53239468,384,475,238,540.109905583913
281339.30183625,2332611.53239468,384,475,239,277.252658887327
281411.02748700,2332619.78761614,386,384,193,72.1991527495509
281411.02748700,2332619.78761614,386,202,194,241.15346459162
281411.02748700,2332619.78761614,386,394,197,121.346616805507
281411.02748700,2332619.78761614,386,483,243,276.680688461999
283631.39120109,2332630.04275978,390,380,195,189.877783621197
283631.39120109,2332630.04275978,390,131,196,362.646967826307
283631.39120109,2332630.04275978,390,402,201,131.518788952125
283631.39120109,2332630.04275978,390,623,313,518.589347216269
281531.57651305,2332633.67767481,394,386,197,121.346616805507
281531.57651305,2332633.67767481,394,212,198,241.278517946019
281531.57651305,2332633.67767481,394,404,202,123.719410678027
281531.57651305,2332633.67767481,394,493,248,277.044549311132
279603.77920915,2332638.81870882,398,318,199,203.651998387626
279603.77920915,2332638.81870882,398,347,200,137.755470718296
279603.77920915,2332638.81870882,398,428,214,83.3370782697869
283762.08173198,2332644.77968559,402,390,201,131.518788952125
283762.08173198,2332644.77968559,402,637,320,518.76796804847
283762.08173198,2332644.77968559,402,653,329,1165.37334140464
281654.49705900,2332647.71448219,404,394,202,123.719410678027
281654.49705900,2332647.71448219,404,224,203,241.280384237553
281654.49705900,2332647.71448219,404,414,207,121.640597432329
281654.49705900,2332647.71448219,404,503,253,277.01830418554
279301.15892751,2332650.67265959,408,366,204,99.4077229016773
282340.89627017,2332655.37983075,409,308,205,169.373099421969
282340.89627017,2332655.37983075,409,320,206,187.942419249201
282340.89627017,2332655.37983075,409,547,275,347.15484478291
281775.36503339,2332661.40271475,414,404,207,121.640597432329
281775.36503339,2332661.40271475,414,234,208,241.170939221282
281775.36503339,2332661.40271475,414,511,257,277.11508139963
277521.64005260,2332661.76447784,417,418,209,271.874029638307
277521.64005260,2332661.76447784,417,244,210,240.077054960167
277521.64005260,2332661.76447784,417,421,211,14.396385944456
277254.37975566,2332611.89041976,418,417,209,271.874029638307
277254.37975566,2332611.89041976,418,430,215,107.151347650399
277254.37975566,2332611.89041976,418,452,226,697.599404962608
277535.79139170,2332664.40938424,421,417,211,14.396385944456
277535.79139170,2332664.40938424,421,359,212,135.76726905264
277535.79139170,2332664.40938424,421,431,216,72.9903641915108
279428.77435937,2332692.24053231,426,372,213,95.0367467669276
279428.77435937,2332692.24053231,426,441,221,119.44921763449
279664.34070674,2332696.06705922,428,398,214,83.3370782697869
279664.34070674,2332696.06705922,428,434,217,42.2710707974156
279664.34070674,2332696.06705922,428,436,219,33.4124850357694
277233.75935659,2332717.03893590,430,418,215,107.151347650399
277233.75935659,2332717.03893590,430,452,227,452.102077071925
277233.75935659,2332717.03893590,430,458,229,103.424793807806
277583.54805729,2332719.60806318,431,421,216,72.9903641915108
277583.54805729,2332719.60806318,431,458,230,381.634887056491
277583.54805729,2332719.60806318,431,467,234,151.603504777826
279695.05819113,2332725.10633572,434,428,217,42.2710707974156
279695.05819113,2332725.10633572,434,464,232,151.355427278031
279695.05819113,2332725.10633572,434,465,233,106.860726264865
279561.03576920,2332719.80396114,435,436,218,93.6475327160083
279561.03576920,2332719.80396114,435,446,223,130.353598835592
279653.69251122,2332727.72837759,436,435,218,93.6475327160083
279653.69251122,2332727.72837759,436,428,219,33.4124850357694
279653.69251122,2332727.72837759,436,446,224,42.8643251585199
286986.27916225,2332748.37057913,439,5,220,5557.66047270122
279354.33879301,2332750.56873430,441,426,221,119.44921763449
279354.33879301,2332750.56873430,441,443,222,69.6378019059509
279354.33879301,2332750.56873430,441,449,225,35.1267833517914
279423.07400212,2332761.29179328,443,441,222,69.6378019059509
279650.05179307,2332770.43780913,446,435,223,130.353598835592
279650.05179307,2332770.43780913,446,436,224,42.8643251585199
279650.05179307,2332770.43780913,446,456,228,123.138421427488
279339.99622572,2332782.63400635,449,441,225,35.1267833517914
276789.09150834,2332798.66628215,452,418,226,697.599404962608
276789.09150834,2332798.66628215,452,430,227,452.102077071925
276789.09150834,2332798.66628215,452,470,235,54.8116878832428
279567.84755444,2332808.97778922,456,446,228,123.138421427488
277223.70789412,2332818.91088352,458,430,229,103.424793807806
277223.70789412,2332818.91088352,458,431,230,381.634887056491
277223.70789412,2332818.91088352,458,480,241,424.925024637305
277223.70789412,2332818.91088352,458,498,249,95.0574805929627
